DATE,FLIGHT_NUM,WAY,HAUL,PLANE,TEAM,NUMBER,START,END
20170620,1047,Arrival,Moyen,320,POLY,2,21:50:00,22:35:00
20170620,1047,Arrival,Moyen,320,RZA,1,21:50:00,22:35:00
20170620,1047,Arrival,Moyen,320,ASA,1,21:50:00,22:25:00
20170620,1048,Departure,Moyen,319,POLY,1,16:45:00,17:00:00
20170620,1048,Departure,Moyen,319,RZA,1,15:45:00,17:15:00
20170620,1049,Arrival,Moyen,319,POLY,1,21:10:00,21:25:00
20170620,1049,Arrival,Moyen,319,RZA,1,21:10:00,21:55:00
20170620,1050,Departure,Moyen,318,POLY,1,17:35:00,17:50:00
20170620,1050,Departure,Moyen,318,RZA,1,16:35:00,18:05:00
20170620,1051,Arrival,Moyen,318,POLY,1,22:10:00,22:25:00
20170620,1051,Arrival,Moyen,318,RZA,1,22:10:00,22:55:00
20170620,1060,Departure,Moyen,320,ASA,1,12:25:00,13:30:00
20170620,1060,Departure,Moyen,320,POLY,2,12:25:00,13:30:00
20170620,1060,Departure,Moyen,320,RZA,1,12:15:00,13:40:00
20170620,1061,Arrival,Moyen,320,POLY,2,11:45:00,12:30:00
20170620,1061,Arrival,Moyen,320,RZA,1,11:45:00,12:30:00
20170620,1061,Arrival,Moyen,320,ASA,1,11:45:00,12:20:00
20170620,1062,Departure,Moyen,321,ASA,1,15:05:00,16:10:00
20170620,1062,Departure,Moyen,321,POLY,2,15:05:00,16:10:00
20170620,1062,Departure,Moyen,321,RZA,1,14:55:00,16:20:00
20170620,1063,Arrival,Moyen,321,POLY,2,21:55:00,22:40:00
20170620,1063,Arrival,Moyen,321,RZA,1,21:55:00,22:40:00
20170620,1063,Arrival,Moyen,321,ASA,1,21:55:00,22:35:00
20170620,1064,Departure,Moyen,320,ASA,1,12:05:00,13:10:00
20170620,1064,Departure,Moyen,320,POLY,2,12:05:00,13:10:00
20170620,1064,Departure,Moyen,320,RZA,1,11:55:00,13:20:00
20170620,1065,Arrival,Moyen,320,POLY,2,16:10:00,16:55:00
20170620,1065,Arrival,Moyen,320,RZA,1,16:10:00,16:55:00
20170620,1065,Arrival,Moyen,320,ASA,1,16:10:00,16:45:00
20170620,1066,Departure,Moyen,318,POLY,1,7:10:00,7:25:00
20170620,1066,Departure,Moyen,318,RZA,1,6:10:00,7:40:00
20170620,1067,Arrival,Moyen,318,RZA,1,11:25:00,13:10:00
20170620,1068,Departure,Moyen,320,ASA,1,12:10:00,13:15:00
20170620,1068,Departure,Moyen,320,POLY,2,12:10:00,13:15:00
20170620,1068,Departure,Moyen,320,RZA,1,12:00:00,13:25:00
20170620,1069,Arrival,Moyen,320,POLY,2,16:45:00,17:30:00
20170620,1069,Arrival,Moyen,320,RZA,1,16:45:00,17:30:00
20170620,1069,Arrival,Moyen,320,ASA,1,16:40:00,17:20:00
20170620,1080,Departure,Moyen,318,POLY,1,18:05:00,18:20:00
20170620,1080,Departure,Moyen,318,RZA,1,17:05:00,18:35:00
20170620,1081,Arrival,Moyen,319,POLY,1,8:30:00,9:40:00
20170620,1081,Arrival,Moyen,319,RZA,1,8:20:00,9:55:00
20170620,1083,Arrival,Moyen,320,POLY,2,16:45:00,18:05:00
20170620,1083,Arrival,Moyen,320,RZA,1,16:40:00,18:15:00
20170620,1083,Arrival,Moyen,320,ASA,1,16:45:00,18:05:00
20170620,1084,Departure,Moyen,319,POLY,1,7:05:00,7:20:00
20170620,1084,Departure,Moyen,319,RZA,1,6:05:00,7:35:00
20170620,1085,Arrival,Moyen,319,POLY,1,13:05:00,13:20:00
20170620,1085,Arrival,Moyen,319,RZA,1,13:05:00,13:50:00
20170620,1088,Departure,Moyen,320,ASA,1,17:25:00,18:30:00
20170620,1088,Departure,Moyen,320,POLY,2,17:25:00,18:30:00
20170620,1088,Departure,Moyen,320,RZA,1,17:15:00,18:40:00
20170620,1089,Arrival,Moyen,320,POLY,2,8:50:00,10:10:00
20170620,1089,Arrival,Moyen,320,RZA,1,8:45:00,10:20:00
20170620,1089,Arrival,Moyen,320,ASA,1,8:50:00,10:10:00
20170620,1100,Departure,Moyen,319,POLY,1,16:15:00,17:20:00
20170620,1101,Arrival,Moyen,319,POLY,1,22:10:00,22:25:00
20170620,1101,Arrival,Moyen,319,RZA,1,22:10:00,22:55:00
20170620,1104,Departure,Moyen,320,ASA,1,12:10:00,13:15:00
20170620,1104,Departure,Moyen,320,POLY,2,12:10:00,13:15:00
20170620,1104,Departure,Moyen,320,RZA,1,12:00:00,13:25:00
20170620,1105,Arrival,Moyen,320,POLY,2,18:10:00,19:30:00
20170620,1105,Arrival,Moyen,320,RZA,1,18:05:00,19:40:00
20170620,1105,Arrival,Moyen,320,ASA,1,18:10:00,19:30:00
20170620,1114,Departure,Moyen,318,POLY,1,7:25:00,7:40:00
20170620,1114,Departure,Moyen,318,RZA,1,6:25:00,7:55:00
20170620,1115,Arrival,Moyen,318,POLY,1,11:35:00,12:40:00
20170620,1115,Arrival,Moyen,318,RZA,1,11:25:00,12:55:00
20170620,1120,Departure,Moyen,320,ASA,1,16:55:00,18:00:00
20170620,1120,Departure,Moyen,320,POLY,2,16:55:00,18:00:00
20170620,1120,Departure,Moyen,320,RZA,1,16:45:00,18:10:00
20170620,1121,Arrival,Moyen,320,POLY,2,5:05:00,5:50:00
20170620,1121,Arrival,Moyen,320,RZA,1,5:05:00,5:50:00
20170620,1121,Arrival,Moyen,320,ASA,1,5:05:00,5:40:00
20170620,1122,Departure,Moyen,320,ASA,1,20:05:00,21:10:00
20170620,1122,Departure,Moyen,320,POLY,2,20:05:00,21:10:00
20170620,1122,Departure,Moyen,320,RZA,1,19:55:00,21:20:00
20170620,1123,Arrival,Moyen,320,POLY,2,8:40:00,9:50:00
20170620,1123,Arrival,Moyen,320,RZA,1,8:35:00,10:00:00
20170620,1123,Arrival,Moyen,320,ASA,1,8:40:00,9:50:00
20170620,1124,Departure,Moyen,320,ASA,1,19:55:00,21:00:00
20170620,1124,Departure,Moyen,320,POLY,2,19:55:00,21:00:00
20170620,1124,Departure,Moyen,320,RZA,1,19:45:00,21:10:00
20170620,1125,Arrival,Moyen,320,POLY,2,9:00:00,9:45:00
20170620,1125,Arrival,Moyen,320,RZA,1,9:00:00,9:45:00
20170620,1125,Arrival,Moyen,320,ASA,1,9:00:00,9:35:00
20170620,1126,Departure,Moyen,318,POLY,1,7:15:00,7:30:00
20170620,1126,Departure,Moyen,318,RZA,1,6:15:00,7:45:00
20170620,1127,Arrival,Moyen,318,RZA,1,11:25:00,13:15:00
20170620,1134,Departure,Moyen,321,ASA,1,19:45:00,20:50:00
20170620,1134,Departure,Moyen,321,POLY,2,19:45:00,20:50:00
20170620,1134,Departure,Moyen,321,RZA,1,19:35:00,21:00:00
20170620,1135,Arrival,Moyen,321,POLY,2,8:30:00,9:15:00
20170620,1135,Arrival,Moyen,321,RZA,1,8:30:00,9:15:00
20170620,1135,Arrival,Moyen,321,ASA,1,8:30:00,9:10:00
20170620,1138,Departure,Moyen,320,ASA,1,6:20:00,7:25:00
20170620,1138,Departure,Moyen,320,POLY,2,6:20:00,7:25:00
20170620,1138,Departure,Moyen,320,RZA,1,6:10:00,7:35:00
20170620,1139,Arrival,Moyen,320,POLY,2,12:00:00,13:10:00
20170620,1139,Arrival,Moyen,320,RZA,1,11:55:00,13:20:00
20170620,1139,Arrival,Moyen,320,ASA,1,12:00:00,13:10:00
20170620,1140,Departure,Moyen,321,ASA,1,15:50:00,16:55:00
20170620,1140,Departure,Moyen,321,POLY,2,15:50:00,16:55:00
20170620,1140,Departure,Moyen,321,RZA,1,15:40:00,17:05:00
